!______________________________________________________________________________
! HMS Recon coefficients for MONTE_HMS (COSY generated).     11-AUG-1994
! TRANSPORT coordinate system, pt-to-pt tune
! Order = 4, Frmode = 3 (numerical integration of fringe fields)
!----------------------------------------------------------------------
   .317527533      .000000000E+00  .000000000E+00  .245960996     1000
  -2.85441828      .000000000E+00  .000000000E+00  .242348343     0100
   .000000000E+00 -.312011063      .268463999      .000000000E+00 0010
   .000000000E+00 -1.07217002     -2.31891990      .000000000E+00 0001
  -.319970310      .000000000E+00  .000000000E+00 -.255915374     2000
   2.56908751      .000000000E+00  .000000000E+00  2.54530263     1100
   .000000000E+00  1.38477480     -.384036005      .000000000E+00 1010
   .000000000E+00 -19.7430077      5.46387768      .000000000E+00 1001
   2.70532298      .000000000E+00  .000000000E+00  2.36808491     0200
   .000000000E+00  .222594276     -.143006995      .000000000E+00 0110
   .000000000E+00 -10.6024456      4.27177477      .000000000E+00 0101
  -.152012706E-02  .000000000E+00  .000000000E+00 -.270858705     0020
   .170187235      .000000000E+00  .000000000E+00  1.67600095     0011
  -1.38170409      .000000000E+00  .000000000E+00 -6.33937025     0002
   .802026689      .000000000E+00  .000000000E+00  .348045677     3000
  -12.0020695      .000000000E+00  .000000000E+00 -5.51048374     2100
   .000000000E+00 -3.83058715      1.19481599      .000000000E+00 2010
   .000000000E+00  54.8392029     -15.6998825      .000000000E+00 2001
   51.3407135      .000000000E+00  .000000000E+00  18.1734180     1200
   .000000000E+00  43.5075455     -14.4012613      .000000000E+00 1110
   .000000000E+00 -620.803589      184.476883      .000000000E+00 1101
   .642528892      .000000000E+00  .000000000E+00  .555919468     1020
  -18.8381844      .000000000E+00  .000000000E+00 -3.84749103     1011
   138.963242      .000000000E+00  .000000000E+00  40.1134491     1002
  -73.4732895      .000000000E+00  .000000000E+00  18.5586720     0300
   .000000000E+00 -112.979721      39.4013557      .000000000E+00 0210
   .000000000E+00  1672.63293     -488.757965      .000000000E+00 0201
  -5.76503181      .000000000E+00  .000000000E+00 -4.09595299     0120
   167.433731      .000000000E+00  .000000000E+00  37.1829910     0111
  -1233.11523      .000000000E+00  .000000000E+00 -334.697327     0102
   .000000000E+00 -3.06561947      .831182718      .000000000E+00 0030
   .000000000E+00  116.585777     -29.7439613      .000000000E+00 0021
   .000000000E+00 -1478.94849      348.409760      .000000000E+00 0012
   .000000000E+00  6711.93359     -1333.78076      .000000000E+00 0003
  -2.26316237      .000000000E+00  .000000000E+00 -.899476409E-01 4000
   45.2979355      .000000000E+00  .000000000E+00 -2.18000722     3100
   .000000000E+00  5.83996964     -1.54841578      .000000000E+00 3010
   .000000000E+00 -87.4606705      20.4395332      .000000000E+00 3001
  -300.066010      .000000000E+00  .000000000E+00  93.0069656     2200
   .000000000E+00 -80.2549973      20.5591373      .000000000E+00 2110
   .000000000E+00  1249.86511     -246.849304      .000000000E+00 2101
  -2.24942493      .000000000E+00  .000000000E+00  3.87695694     2020
   63.8704071      .000000000E+00  .000000000E+00  2.39358950     2011
  -453.822235      .000000000E+00  .000000000E+00 -63.5074844     2002
   713.001892      .000000000E+00  .000000000E+00 -731.238831     1300
   .000000000E+00  233.869064     -57.3580017      .000000000E+00 1210
   .000000000E+00 -4008.34106      424.853302      .000000000E+00 1201
   26.2203388      .000000000E+00  .000000000E+00 -53.0108871     1120
  -738.520203      .000000000E+00  .000000000E+00  218.313736     1111
   5208.33496      .000000000E+00  .000000000E+00  1103.11731     1102
   .000000000E+00  6.67412281     -1.58341384      .000000000E+00 1030
   .000000000E+00 -273.778656      74.3241501      .000000000E+00 1021
   .000000000E+00  3583.71948     -959.236389      .000000000E+00 1012
   .000000000E+00 -14205.3877      4064.69922      .000000000E+00 1003
  -295.664398      .000000000E+00  .000000000E+00  1549.60193     0400
   .000000000E+00  207.808273     -43.9750137      .000000000E+00 0310
   .000000000E+00 -1050.92578      1701.05542      .000000000E+00 0301
  -54.0853271      .000000000E+00  .000000000E+00  258.286224     0220
   1497.87793      .000000000E+00  .000000000E+00 -2072.53076     0211
  -10319.0244      .000000000E+00  .000000000E+00 -2585.18848     0202
   .000000000E+00 -16.5904675      7.36213112      .000000000E+00 0130
   .000000000E+00  997.471436     -338.463196      .000000000E+00 0121
   .000000000E+00 -16218.5615      4670.21680      .000000000E+00 0112
   .000000000E+00  81868.9922     -22596.3047      .000000000E+00 0103
  -.233307504E-02  .000000000E+00  .000000000E+00  3.76702142     0040
   .403707832      .000000000E+00  .000000000E+00 -38.4594421     0031
  -13.0197582      .000000000E+00  .000000000E+00  110.374779     0022
   151.936737      .000000000E+00  .000000000E+00 -172.289932     0013
  -590.073975      .000000000E+00  .000000000E+00  703.355286     0004
 ---------------------------------------------------------------------
