!------------------------------------------------------------------------------
! HMS-100 sectioned forward coefficients 			   15-OCT-1998
! QUADS to 7th order
! DIPOLE: Part 0 to 7th order, Parts 1 and 2 to 6th order (COSY LIMITIATION)
! FRMODE=3
!------------------------------------------------------------------------------
NAME: Q1
PART: 0
OFFSET:        2.1607500000000002 (in meters)
LENGTH:        0.0000000000000000 (canonical length in meters)
   1.000000     0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000000
  0.0000000E+00  1.000000     0.0000000E+00 0.0000000E+00 0.0000000E+00 0100000
  0.0000000E+00 0.0000000E+00  1.000000     0.0000000E+00 0.0000000E+00 0010000
  0.0000000E+00 0.0000000E+00 0.0000000E+00  1.000000     0.0000000E+00 0001000
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00  1.000000     0000100
  0.0000000E+00 -2.872179     0.0000000E+00 0.0000000E+00 0.0000000E+00 1000001
  0.1000000     0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100001
  0.0000000E+00 0.0000000E+00 0.0000000E+00  2.872179     0.0000000E+00 0010001
  0.0000000E+00 0.0000000E+00 0.1000000     0.0000000E+00 0.0000000E+00 0001001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.5000000E-04 0200001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.5000000E-04 0002001
  0.0000000E+00 0.2872179E-01 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000011
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2872179E-01 0.0000000E+00 0010011
 -0.1436089     0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000002
  0.0000000E+00-0.1436089     0.0000000E+00 0.0000000E+00 0.0000000E+00 0100002
  0.0000000E+00 0.0000000E+00 0.1436089     0.0000000E+00 0.0000000E+00 0010002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089     0.0000000E+00 0001002
  0.0000000E+00-0.4308268E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-05 0.0000000E+00 0210001
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2872179E-05 0.0000000E+00 1101001
  0.0000000E+00 0.2872179E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111001
  0.0000000E+00-0.1436089E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4308268E-05 0.0000000E+00 0012001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-03 1100002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-03 0011002
  0.0000000E+00-0.2872179E-03 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000021
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2872179E-03 0.0000000E+00 0010021
  0.1436089E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000012
  0.0000000E+00 0.1436089E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100012
  0.0000000E+00 0.0000000E+00-0.1436089E-02 0.0000000E+00 0.0000000E+00 0010012
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-02 0.0000000E+00 0001012
  0.0000000E+00 0.1374902     0.0000000E+00 0.0000000E+00 0.0000000E+00 1000003
 -0.4786965E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1374902     0.0000000E+00 0010003
  0.0000000E+00 0.0000000E+00 0.4786965E-02 0.0000000E+00 0.0000000E+00 0001003
