!------------------------------------------------------------------------------
! HMS-100 sectioned forward coefficients 			   15-OCT-1998
! QUADS to 7th order
! DIPOLE: Part 0 to 7th order, Parts 1 and 2 to 6th order (COSY LIMITIATION)
! FRMODE=3
!------------------------------------------------------------------------------
NAME: Q1
PART: 0
OFFSET:        2.1607500000000002 (in meters)
LENGTH:        0.0000000000000000 (canonical length in meters)
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1250000E-10 0400001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2500000E-10 0202001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1250000E-10 0004001
  0.0000000E+00 0.4308268E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200011
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-07 0.0000000E+00 0210011
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2872179E-07 0.0000000E+00 1101011
  0.0000000E+00-0.2872179E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111011
  0.0000000E+00 0.1436089E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002011
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4308268E-07 0.0000000E+00 0012011
  0.0000000E+00 0.1237412E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 2100002
 -0.2154134E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200002
  0.0000000E+00-0.2154134E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0300002
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.8249411E-05 0.0000000E+00 1110002
  0.0000000E+00 0.0000000E+00 0.7180447E-07 0.0000000E+00 0.0000000E+00 0210002
  0.0000000E+00 0.4124706E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 0120002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4124706E-05 0.0000000E+00 2001002
  0.0000000E+00 0.0000000E+00-0.1436089E-06 0.0000000E+00 0.0000000E+00 1101002
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.7180447E-07 0.0000000E+00 0201002
  0.0000000E+00-0.8249411E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 1011002
  0.1436089E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1237412E-04 0.0000000E+00 0021002
 -0.7180447E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002002
  0.0000000E+00 0.7180447E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0102002
  0.0000000E+00 0.0000000E+00 0.2154134E-06 0.0000000E+00 0.0000000E+00 0012002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2154134E-06 0.0000000E+00 0003002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-05 1100012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-05 0011012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1374902E-03 2000003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4786965E-05 0200003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1374902E-03 0020003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4786965E-05 0002003
  0.0000000E+00 0.2872179E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000031
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2872179E-05 0.0000000E+00 0010031
 -0.1436089E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000022
  0.0000000E+00-0.1436089E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100022
  0.0000000E+00 0.0000000E+00 0.1436089E-04 0.0000000E+00 0.0000000E+00 0010022
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-04 0.0000000E+00 0001022
  0.0000000E+00-0.2749804E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000013
  0.4786965E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100013
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2749804E-02 0.0000000E+00 0010013
  0.0000000E+00 0.0000000E+00-0.4786965E-04 0.0000000E+00 0.0000000E+00 0001013
  0.3437255E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000004
  0.0000000E+00 0.3437255E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100004
  0.0000000E+00 0.0000000E+00 0.3437255E-02 0.0000000E+00 0.0000000E+00 0010004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.3437255E-02 0.0000000E+00 0001004
  0.0000000E+00-0.1077067E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 1400001
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.3590224E-12 0.0000000E+00 0410001
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-11 0.0000000E+00 1301001
  0.0000000E+00 0.1436089E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 0311001
  0.0000000E+00-0.7180447E-12 0.0000000E+00 0.0000000E+00 0.0000000E+00 1202001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.7180447E-12 0.0000000E+00 0212001
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-11 0.0000000E+00 1103001
  0.0000000E+00 0.1436089E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 0113001
  0.0000000E+00 0.3590224E-12 0.0000000E+00 0.0000000E+00 0.0000000E+00 1004001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1077067E-11 0.0000000E+00 0014001
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-09 1300002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-09 0211002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-09 1102002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-09 0013002
  0.0000000E+00-0.4308268E-09 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200021
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-09 0.0000000E+00 0210021
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2872179E-09 0.0000000E+00 1101021
  0.0000000E+00 0.2872179E-09 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111021
  0.0000000E+00-0.1436089E-09 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002021
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4308268E-09 0.0000000E+00 0012021
  0.0000000E+00-0.2474823E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 2100012
  0.2154134E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200012
  0.0000000E+00 0.2154134E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0300012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1649882E-06 0.0000000E+00 1110012
  0.0000000E+00 0.0000000E+00-0.7180447E-09 0.0000000E+00 0.0000000E+00 0210012
  0.0000000E+00-0.8249411E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0120012
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.8249411E-07 0.0000000E+00 2001012
  0.0000000E+00 0.0000000E+00 0.1436089E-08 0.0000000E+00 0.0000000E+00 1101012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.7180447E-09 0.0000000E+00 0201012
  0.0000000E+00 0.1649882E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 1011012
 -0.1436089E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111012
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2474823E-06 0.0000000E+00 0021012
  0.7180447E-09 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002012
  0.0000000E+00-0.7180447E-09 0.0000000E+00 0.0000000E+00 0.0000000E+00 0102012
  0.0000000E+00 0.0000000E+00-0.2154134E-08 0.0000000E+00 0.0000000E+00 0012012
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2154134E-08 0.0000000E+00 0003012
  0.0000000E+00-0.1184689E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 3000003
  0.4124706E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 2100003
  0.0000000E+00 0.1649882E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200003
 -0.7180447E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0300003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1184689E-04 0.0000000E+00 2010003
  0.0000000E+00 0.0000000E+00-0.2749804E-06 0.0000000E+00 0.0000000E+00 1110003
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2749804E-06 0.0000000E+00 0210003
  0.0000000E+00-0.1184689E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 1020003
  0.1374902E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0120003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1184689E-04 0.0000000E+00 0030003
  0.0000000E+00 0.0000000E+00 0.1374902E-06 0.0000000E+00 0.0000000E+00 2001003
  0.0000000E+00 0.0000000E+00-0.2393482E-08 0.0000000E+00 0.0000000E+00 0201003
 -0.2749804E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1011003
  0.0000000E+00 0.0000000E+00 0.4124706E-06 0.0000000E+00 0.0000000E+00 0021003
  0.0000000E+00-0.2749804E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002003
  0.2393482E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0102003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1649882E-05 0.0000000E+00 0012003
  0.0000000E+00 0.0000000E+00 0.7180447E-08 0.0000000E+00 0.0000000E+00 0003003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-07 1100022
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-07 0011022
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2749804E-05 2000013
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4786965E-07 0200013
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2749804E-05 0020013
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4786965E-07 0002013
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1374902E-04 1100004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1374902E-04 0011004
  0.0000000E+00-0.2872179E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000041
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2872179E-07 0.0000000E+00 0010041
  0.1436089E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000032
  0.0000000E+00 0.1436089E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100032
  0.0000000E+00 0.0000000E+00-0.1436089E-06 0.0000000E+00 0.0000000E+00 0010032
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-06 0.0000000E+00 0001032
  0.0000000E+00 0.4124706E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000023
 -0.4786965E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100023
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4124706E-04 0.0000000E+00 0010023
  0.0000000E+00 0.0000000E+00 0.4786965E-06 0.0000000E+00 0.0000000E+00 0001023
 -0.6874509E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000014
  0.0000000E+00-0.6874509E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100014
  0.0000000E+00 0.0000000E+00-0.6874509E-04 0.0000000E+00 0.0000000E+00 0010014
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.6874509E-04 0.0000000E+00 0001014
  0.0000000E+00-0.1974482E-02 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000005
  0.6874509E-04 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100005
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1974482E-02 0.0000000E+00 0010005
  0.0000000E+00 0.0000000E+00 0.6874509E-04 0.0000000E+00 0.0000000E+00 0001005
  0.0000000E+00 0.2474823E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 2300002
 -0.5385335E-13 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1400002
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.8249411E-11 0.0000000E+00 1310002
  0.0000000E+00 0.0000000E+00-0.1795112E-13 0.0000000E+00 0.0000000E+00 0410002
  0.0000000E+00 0.4124706E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 0320002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1649882E-10 0.0000000E+00 2201002
  0.0000000E+00 0.0000000E+00-0.7180447E-13 0.0000000E+00 0.0000000E+00 1301002
  0.0000000E+00-0.3299764E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 1211002
  0.7180447E-13 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0311002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1237412E-10 0.0000000E+00 0221002
  0.0000000E+00 0.1237412E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 2102002
 -0.3590224E-13 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1202002
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.3299764E-10 0.0000000E+00 1112002
  0.0000000E+00 0.0000000E+00 0.3590224E-13 0.0000000E+00 0.0000000E+00 0212002
  0.0000000E+00 0.1649882E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0122002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4124706E-11 0.0000000E+00 2003002
  0.0000000E+00 0.0000000E+00-0.7180447E-13 0.0000000E+00 0.0000000E+00 1103002
  0.0000000E+00-0.8249411E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 1013002
  0.7180447E-13 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0113002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2474823E-10 0.0000000E+00 0023002
  0.1795112E-13 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1004002
  0.0000000E+00 0.0000000E+00 0.5385335E-13 0.0000000E+00 0.0000000E+00 0014002
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-11 1300012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-11 0211012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-11 1102012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-11 0013012
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.6187058E-09 2200003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4786965E-11 0400003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2062353E-09 0220003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.8249411E-09 1111003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2062353E-09 2002003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.6187058E-09 0022003
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4786965E-11 0004003
  0.0000000E+00 0.4308268E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200031
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-11 0.0000000E+00 0210031
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2872179E-11 0.0000000E+00 1101031
  0.0000000E+00-0.2872179E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111031
  0.0000000E+00 0.1436089E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002031
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4308268E-11 0.0000000E+00 0012031
  0.0000000E+00 0.3712235E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 2100022
 -0.2154134E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200022
  0.0000000E+00-0.2154134E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0300022
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2474823E-08 0.0000000E+00 1110022
  0.0000000E+00 0.0000000E+00 0.7180447E-11 0.0000000E+00 0.0000000E+00 0210022
  0.0000000E+00 0.1237412E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0120022
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1237412E-08 0.0000000E+00 2001022
  0.0000000E+00 0.0000000E+00-0.1436089E-10 0.0000000E+00 0.0000000E+00 1101022
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.7180447E-11 0.0000000E+00 0201022
  0.0000000E+00-0.2474823E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 1011022
  0.1436089E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0111022
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.3712235E-08 0.0000000E+00 0021022
 -0.7180447E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002022
  0.0000000E+00 0.7180447E-11 0.0000000E+00 0.0000000E+00 0.0000000E+00 0102022
  0.0000000E+00 0.0000000E+00 0.2154134E-10 0.0000000E+00 0.0000000E+00 0012022
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2154134E-10 0.0000000E+00 0003022
  0.0000000E+00 0.3554068E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 3000013
 -0.8249411E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 2100013
  0.0000000E+00-0.3299764E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200013
  0.7180447E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0300013
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.3554068E-06 0.0000000E+00 2010013
  0.0000000E+00 0.0000000E+00 0.5499607E-08 0.0000000E+00 0.0000000E+00 1110013
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.5499607E-08 0.0000000E+00 0210013
  0.0000000E+00 0.3554068E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 1020013
 -0.2749804E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0120013
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.3554068E-06 0.0000000E+00 0030013
  0.0000000E+00 0.0000000E+00-0.2749804E-08 0.0000000E+00 0.0000000E+00 2001013
  0.0000000E+00 0.0000000E+00 0.2393482E-10 0.0000000E+00 0.0000000E+00 0201013
  0.5499607E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1011013
  0.0000000E+00 0.0000000E+00-0.8249411E-08 0.0000000E+00 0.0000000E+00 0021013
  0.0000000E+00 0.5499607E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002013
 -0.2393482E-10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0102013
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.3299764E-07 0.0000000E+00 0012013
  0.0000000E+00 0.0000000E+00-0.7180447E-10 0.0000000E+00 0.0000000E+00 0003013
 -0.2961723E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 3000004
  0.0000000E+00-0.3257895E-05 0.0000000E+00 0.0000000E+00 0.0000000E+00 2100004
  0.4124706E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1200004
  0.0000000E+00 0.4124706E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0300004
  0.0000000E+00 0.0000000E+00 0.2961723E-06 0.0000000E+00 0.0000000E+00 2010004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.9872410E-06 0.0000000E+00 1110004
  0.0000000E+00 0.0000000E+00-0.6874509E-08 0.0000000E+00 0.0000000E+00 0210004
 -0.2961723E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1020004
  0.0000000E+00-0.2961723E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0120004
  0.0000000E+00 0.0000000E+00 0.2961723E-06 0.0000000E+00 0.0000000E+00 0030004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2961723E-06 0.0000000E+00 2001004
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.6874509E-08 0.0000000E+00 0201004
  0.0000000E+00-0.9872410E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 1011004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.3257895E-05 0.0000000E+00 0021004
 -0.6874509E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1002004
  0.0000000E+00-0.6874509E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0102004
  0.0000000E+00 0.0000000E+00 0.4124706E-07 0.0000000E+00 0.0000000E+00 0012004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4124706E-07 0.0000000E+00 0003004
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.1436089E-09 1100032
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-09 0011032
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4124706E-07 2000023
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.4786965E-09 0200023
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4124706E-07 0020023
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.4786965E-09 0002023
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2749804E-06 1100014
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2749804E-06 0011014
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.7897928E-05 2000005
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2749804E-06 0200005
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.7897928E-05 0020005
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2749804E-06 0002005
  0.0000000E+00 0.2872179E-09 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000051
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.2872179E-09 0.0000000E+00 0010051
 -0.1436089E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000042
  0.0000000E+00-0.1436089E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100042
  0.0000000E+00 0.0000000E+00 0.1436089E-08 0.0000000E+00 0.0000000E+00 0010042
  0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1436089E-08 0.0000000E+00 0001042
  0.0000000E+00-0.5499607E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 1000033
  0.4786965E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0100033
  0.0000000E+00 0.0000000E+00 0.0000000E+00-0.5499607E-06 0.0000000E+00 0010033
  0.0000000E+00 0.0000000E+00-0.4786965E-08 0.0000000E+00 0.0000000E+00 0001033
